"attribute_id","option_id","store_id","value"
"92","526","0","black"
"92","542","0","red-blu"
"92","584","0","1.5-1.75"
"92","600","0","1.75-2.1"
"92","623","0","1.9-2.12"
"92","640","0","2.125 sv"
"92","646","0","lavender"
"92","662","0","schrader"
"92","700","0","micro"
"92","707","0","2.125"
"92","744","0","Red-White"
"92","745","0","titanium"
"92","746","0","graphite"
"92","749","0","Black-Pink"
"92","750","0","Yellow-Black"
"92","754","0","segafred"
"92","755","0","wht cut"
"92","756","0","GY-BLU"
"92","759","0","GLOSSBK"
"92","762","0","rd-wt-bk"
"92","763","0","volt-wt"
"92","764","0","tfr"
"92","766","0","tfr blk"
"92","767","0","blu flor"
"92","772","0","Lime-Pink"
"92","774","0","NVY-ORG"
"92","775","0","GRY-SIL"
"92","778","0","denim"
"92","779","0","mermaid"
"92","780","0","unicorn"
"92","781","0","BLK-LOGO"
"92","783","0","robot"
"92","784","0","splined"
"92","785","0","high"
"92","871","0","700"
"92","948","0","front"
"92","954","0","presta"
"92","966","0","rd-bk"
"92","968","0","44"
"92","970","0","42"
"92","972","0","wht"
"92","978","0","blu"
"92","984","0","og"
"92","990","0","gn"
"92","994","0","copper"
"92","1000","0","chromoly"
"92","1018","0","rawpolis"
"92","1020","0","polished"
"92","1024","0","purple"
"92","1028","0","jngl cam"
"92","1030","0","paisley"
"92","1051","0","cr-pr-wt"
"92","1059","0","fireb-bk"
"92","1063","0","blu-cit"
"92","1083","0","blk-yel"
"92","1085","0","raw-poli"
"92","1094","0","turchese"
"92","1106","0","45"
"92","1120","0","wt-bl-bk"
"92","1130","0","breeze"
"92","1136","0","coper"
"92","1148","0","red-"
"92","1155","0","c.p."
"92","1161","0","pe-pr-pl"
"92","1167","0","gum-wht"
"92","1169","0","pur-man"
"92","1171","0","blk-mis"
"92","1173","0","dew-blu"
"92","1175","0","bk-sp-ch"
"92","1177","0","pew-blu"
"92","1179","0","pa-gr-de"
"92","1181","0","bk-pw-rd"
"92","1183","0","viz-pew"
"92","1185","0","twilight"
"92","1189","0","11-34t"
"92","1197","0","12-23t"
"92","1199","0","11-32t"
"92","1201","0","13-23t"
"92","1209","0","grn-blk"
"92","1211","0","ed blue"
"92","1215","0","blk-pew"
"92","1219","0","rd"
"92","1225","0","pale gry"
"92","1248","0","1.75-2.1"
"92","1253","0","acqua"
"92","1255","0","xp city"
"92","1257","0","neutral"
"92","1259","0","gum"
"92","1269","0","purple."
"92","1273","0","11-28t"
"92","1287","0","118-177-"
"92","1297","0","deore"
"92","1303","0","blk-sl"
"92","1307","0","blk - gn"
"92","1315","0","pw"
"92","1319","0","26"
"92","1347","0","sky blu"
"92","1349","0","blk-pink"
"92","1355","0","46"
"92","1357","0","nvy"
"92","1365","0","blk-blk"
"92","1367","0","glos blk"
"92","1369","0","clr-red"
"92","1373","0","sea blue"
"92","1387","0","slvr"
"92","1395","0","blu/gry"
"92","1399","0","blk snow"
"92","1401","0","gv112"
"92","1407","0","100 pcs"
"92","1409","0","dib-nvy"
"92","1413","0","yel"
"92","1417","0","blk-nro"
"92","1421","0","blk-sbo"
"92","1423","0","dark grn"
"92","1428","0","gang grn"
"92","1437","0","darkblue"
"92","1439","0","nav-vol"
"92","1443","0","blu-yel"
"92","1445","0","blu-man"
"92","1447","0","print"
"92","1449","0","firy flm"
"92","1451","0","met-stee"
"92","1457","0","royal r"
"92","1463","0","cop"
"92","1469","0","uvi city"
"92","1471","0","l.pink"
"92","1477","0","tan"
"92","1529","0","ocn brz"
"92","1531","0","yell"
"92","1541","0","gum-blk"
"92","1547","0","bl-wt-bk"
"92","1551","0","bk-dn-cp"
"92","1553","0","blu-wht"
"92","1555","0","rd-wt"
"92","1559","0","rd-bk-gr"
"92","1565","0","polish"
"92","1569","0","blk."
"92","1573","0","rainbow"
"92","1575","0","red/wt"
"92","1579","0","ocn blue"
"92","1583","0","blk-grey"
"92","1593","0","gry"
"92","1595","0","opl-grn"
"92","1597","0","ylo"
"92","1599","0","blk-trd"
"92","1601","0","wt-bk-ct"
"92","1608","0","gloss bk"
"92","1612","0","org"
"92","1624","0","verde"
"92","1628","0","ink-sbo"
"92","1648","0","ore"
"92","1652","0","700c"
"92","1656","0","limited"
"92","1664","0","bl-wt"
"92","1676","0","cop-slvr"
"92","1686","0","blk-grn"
"92","1688","0","blk-pur"
"92","1690","0","wh-red"
"92","1696","0","wht-wood"
"92","1813","0","blk-pip"
"92","1817","0","blk-rip"
"92","1819","0","bl-or-sl"
"92","1823","0","white-"
"92","1825","0","wht blk"
"92","1827","0","wht red"
"92","1833","0","pew-blk"
"92","1835","0","rd-4601"
"92","1841","0","bk"
"92","1851","0","8 sped"
"92","1855","0","10pck"
"92","1857","0","wht-teal"
"92","1893","0","red-ctn"
"92","1897","0","wht-blu"
"92","1929","0","10pk"
"92","1934","0","blk-gr"
"92","1938","0","red,"
