"attribute_id","option_id","store_id","value"
"171","525","0","ii"
"171","528","0","iii"
"171","533","0","iv"
"171","538","0","m"
"171","541","0","l"
"171","572","0","xl"
"171","576","0","20"
"171","586","0","20.6"
"171","589","0","20.2"
"171","590","0","pro 20"
"171","591","0","expert20"
"171","592","0","junior20"
"171","594","0","172"
"171","596","0","48"
"171","597","0","39"
"171","598","0","hub"
"171","615","0","277mm"
"171","624","0","36h"
"171","625","0","43"
"171","626","0","2.50"
"171","636","0","medium"
"171","637","0","1.75"
"171","642","0","wide45.5"
"171","650","0","130mm"
"171","652","0","700*38c"
"171","656","0","2X"
"171","657","0","large"
"171","658","0","26cu"
"171","659","0","small"
"171","660","0","15.5 650"
"171","663","0","pk"
"171","701","0","41"
"171","704","0","26*2.10"
"171","705","0","41.5"
"171","706","0","40"
"171","708","0","330mm"
"171","709","0","5mm"
"171","710","0","5mmx25ft"
"171","712","0","xl 120"
"171","713","0","285mm"
"171","714","0","68x121mm"
"171","715","0","wired"
"171","716","0","x-small"
"171","717","0","29*2-2.4"
"171","721","0","700c"
"171","722","0","31.9-32."
"171","723","0","2X-Large"
"171","724","0","x-large"
"171","727","0","xx-large"
"171","732","0","29er"
"171","733","0","36"
"171","734","0","37"
"171","735","0","45"
"171","736","0","46"
"171","737","0","44"
"171","738","0","43.5"
"171","739","0","39.5"
"171","740","0","37.5"
"171","741","0","44.5"
"171","742","0","38.5"
"171","743","0","38"
"171","752","0","42.5"
"171","753","0","42"
"171","786","0","31"
"171","787","0","31.6"
"171","788","0","31.8"
"171","789","0","31.9"
"171","790","0","1.1mm"
"171","791","0","1.8mm"
"171","792","0","10"
"171","793","0","100/112"
"171","794","0","100/116"
"171","795","0","100mm"
"171","796","0","105mm"
"171","797","0","11-21t"
"171","798","0","11-26t"
"171","799","0","11-28t"
"171","800","0","12-27T"
"171","801","0","12oz"
"171","802","0","12-32t"
"171","803","0","130/140"
"171","804","0","113mm"
"171","805","0","2.125"
"171","806","0","2.25"
"171","807","0","2.5"
"171","808","0","5"
"171","809","0","6"
"171","810","0","12"
"171","811","0","16"
"171","813","0","21"
"171","814","0","23"
"171","815","0","25"
"171","816","0","26"
"171","817","0","27"
"171","818","0","28"
"171","819","0","28.6"
"171","820","0","29"
"171","821","0","700x18"
"171","822","0","700x23"
"171","823","0","26x3.5"
"171","824","0","26x1.25"
"171","825","0","700x44"
"171","827","0","26x2.4"
"171","828","0","18-25c"
"171","829","0","700x18-2"
"171","830","0","26x1.75"
"171","831","0","700x35"
"171","832","0","27.5x2.4"
"171","833","0","18x1.5"
"171","834","0","20x1.5"
"171","835","0","14x1.5"
"171","836","0","700x23-2"
"171","837","0","21.5"
"171","839","0","10, 43"
"171","841","0","13, 46"
"171","843","0","170mm"
"171","845","0","29x1.75"
"171","847","0","56"
"171","849","0","46-62cm"
"171","851","0","6808ss"
"171","853","0","fr-6c"
"171","855","0","20oz"
"171","857","0","26x2.1"
"171","859","0","bk"
"171","861","0","32h"
"171","863","0","aols v2"
"171","865","0","12- 27 t"
"171","867","0","3/ 9spee"
"171","869","0","285 mm"
"171","873","0","285"
"171","875","0","1size v2"
"171","877","0","29x2.00"
"171","879","0","60mm"
"171","884","0","26x1.75-"
"171","888","0","700*22c"
"171","890","0","wide42.5"
"171","892","0","700*23-2"
"171","894","0","7/32in"
"171","904","0","xs"
"171","906","0","s"
"171","908","0","6012"
"171","910","0","700x32"
"171","912","0","26 32h"
"171","914","0","290mm"
"171","916","0","53x40x7"
"171","918","0","m3x.5"
"171","920","0","26/36h"
"171","922","0","17.5"
"171","926","0","23a"
"171","928","0","road"
"171","930","0","19.5"
"171","932","0","18.5"
"171","934","0","19.5 29"
"171","936","0","20x2.125"
"171","938","0","w/ rtr"
"171","940","0","160mm"
"171","942","0","one size"
"171","944","0","75/125mm"
"171","946","0","135mm"
"171","950","0","700*28"
"171","952","0","wide 40"
"171","959","0","41"
"171","964","0","m/l"
"171","974","0","m/l55-6"
"171","976","0","m (54-60"
"171","980","0","18.5 29"
"171","982","0","17.5 29"
"171","986","0","621ml"
"171","988","0","8.0 lit"
"171","996","0","1/2"
"171","998","0","28t"
"171","1002","0","19mm"
"171","1004","0","22mm"
"171","1006","0","14mm"
"171","1008","0","3/8"
"171","1010","0","36rhd 9t"
"171","1012","0","50mm"
"171","1014","0","026"
"171","1022","0","24x1.5"
"171","1032","0","8.0"
"171","1037","0","150mm"
"171","1039","0","54"
"171","1041","0","700 x 2"
"171","1049","0","550 ml"
"171","1053","0","550ml"
"171","1055","0","8h"
"171","1057","0","8"
"171","1061","0","9"
"171","1065","0","8 speed"
"171","1067","0","7"
"171","1069","0","11.5"
"171","1071","0","9.5"
"171","1073","0","68mm-118"
"171","1075","0","122.5-68"
"171","1077","0","1700 mm"
"171","1079","0","3xl"
"171","1089","0","28 / 29"
"171","1096","0","184"
"171","1100","0","25t"
"171","1102","0","175"
"171","1104","0","wide 41"
"171","1118","0","m-l"
"171","1122","0","15.5"
"171","1124","0","37-39"
"171","1126","0","50"
"171","1128","0","10.5"
"171","1132","0","11h"
"171","1134","0","3"
"171","1138","0","a40"
"171","1143","0","130/144"
"171","1153","0","14mm,36h"
"171","1157","0","p121"
"171","1159","0","146 x 28"
"171","1163","0","8.5"
"171","1165","0","26 x 1.9"
"171","1187","0","3 bikes"
"171","1191","0","10 speed"
"171","1195","0","11 speed"
"171","1203","0","9 speed"
"171","1207","0","35*20mm"
"171","1223","0","mini"
"171","1229","0","1"
"171","1231","0","pair"
"171","1233","0","mid/far"
"171","1235","0","36h rhd"
"171","1239","0","52mm"
"171","1241","0","h2-2010"
"171","1243","0","36-37"
"171","1261","0","br-m615"
"171","1263","0","186"
"171","1265","0","32"
"171","1267","0","city"
"171","1271","0","xxl"
"171","1275","0","70 * 113"
"171","1279","0","bb5700b"
"171","1281","0","bb5700i"
"171","1283","0","bb70b xt"
"171","1285","0","13mm"
"171","1289","0","75mm"
"171","1291","0","tl-ha20"
"171","1293","0","tl-lr20"
"171","1295","0","180mm"
"171","1299","0","9sp"
"171","1301","0","4 bike"
"171","1305","0","9speed"
"171","1309","0","unisex"
"171","1311","0","29 32h"
"171","1313","0","m5x.8"
"171","1317","0","36x45"
"171","1321","0","48mm"
"171","1323","0","lr44"
"171","1325","0","35-36"
"171","1329","0","trip200"
"171","1345","0","58"
"171","1353","0","52-57"
"171","1359","0","65 cu"
"171","1371","0","1 1/8"
"171","1379","0","115 link"
"171","1381","0","500ml"
"171","1383","0","9.50"
"171","1385","0","20.7"
"171","1389","0","47"
"171","1391","0","9h"
"171","1393","0","20x 2.3"
"171","1397","0","20.5"
"171","1403","0","7.75"
"171","1405","0","9/16(15"
"171","1415","0","8.50"
"171","1430","0","26*6.5'"
"171","1433","0","11"
"171","1453","0","hig/near"
"171","1455","0","low/near"
"171","1459","0","os"
"171","1461","0","16*2.125"
"171","1467","0","series 2"
"171","1475","0","700*25c"
"171","1497","0","sm-md"
"171","1499","0","100/32"
"171","1501","0","5.0 lit"
"171","1503","0","3.0 lit"
"171","1505","0","84.5"
"171","1507","0","127.5/68"
"171","1509","0","113/73mm"
"171","1511","0","68/113mm"
"171","1513","0","m5x170"
"171","1515","0","20.75"
"171","1519","0","52"
"171","1521","0","40-42"
"171","1525","0","200mm"
"171","1527","0","20 x 2.4"
"171","1535","0","2.3"
"171","1539","0","20x2.30"
"171","1543","0","12.5"
"171","1549","0","7h"
"171","1557","0","6h"
"171","1561","0","7.5"
"171","1563","0","26mm"
"171","1567","0","m  (54-6"
"171","1571","0","l (58-63"
"171","1577","0","24"
"171","1581","0","10h"
"171","1585","0","9mm"
"171","1587","0","260g"
"171","1589","0","26 x 2.0"
"171","1603","0","3bike"
"171","1610","0","2 bike"
"171","1614","0","13"
"171","1618","0","280x210"
"171","1620","0","46.5"
