"attribute_id","entity_id","value","sku"
"97","135886","tnt-sub-jersey","000678tnt"
"97","153523","rocket-puck","00RP"
"97","139940","mondor-6802-pant","06802M"
"97","139954","mondor-6805-pant","06805M"
"97","98463","wolves-5589-lw-pant-yth","06905WO"
"97","75077","warrior-swagger-str","07107R"
"97","81001","tuuk-ii-ls-holder-wht-sr","1025116"
"97","123434","bauer-5100","1031869"
"97","91977","bauer-4500","1032712"
"97","152092","tuuk-ls2-ss-pair-jr","1034218"
"97","134208","medium-screw","1034719"
"97","135907","long-screw","1034720"
"97","92678","bauer-garter-belt-sr","1035585"
"97","92680","bauer-suspenders-sr","1035588"
"97","92684","bauer-garter-belt-yth","1035813"
"97","92685","bauer-suspenders-yth","1035814"
"97","92463","bauer-lil-sport-combo","1036927"
"97","92461","bauer-2100-fm","1037080"
"97","133785","bauer-dome-screw","1037664"
"97","92032","bauer-re-akt","1038859"
"97","92411","bauer-re-akt","1038861"
"97","92084","bauer-re-akt-combo","1038893"
"97","92484","bauer-core-mesh-jock","1039244"
"97","92491","bauer-core-mesh-jock-yth","1039245"
"97","80910","tuuk-ls3-steel","1040013"
"97","80944","tuuk-ls2-edge-jr-pair","1041843"
"97","80992","ls-edge-sr-holder","1041847"
"97","81004","ls-edge-jr-holder","1041848"
"97","152744","ng-womans-ls-base-layer-crew","1042837"
"97","152946","ng-elite-perf-skate-sock","1042846"
"97","92714","ng-wmn-s-int-neck-ls-top","1042859"
"97","92720","ng-core-int-neck-ls-top-yth","1042862"
"97","115622","ng-prem-int-neck-ls-top-yth","1042863"
"97","124117","ng-prem-int-neck-ls-top-sr","1042864"
"97","92199","ng-nlp22-prem-neckguard-bib-sr","1042874"
"97","124112","ng-nlp20-collar-sr","1042875"
"97","135404","ng-nlp20-prem-ng-collar-yth","1042876"
"97","134283","ng-nlp7-collar-yth","1042881"
"97","124114","ng-nlp7-collar-sr","1042882"
"97","139340","ng-performance-skull-cap","1042924"
"97","115618","ng-core-int-neck-ls-top-sr","1042925"
"97","92721","bauer-hybrid-shield","1043035"
"97","133646","bauer-pw-ranger-shells","1043793"
"97","132288","woolwich-nexus-pant-shell","1043795DS"
"97","80904","tuuk-ls3-edge-jr-pair","1044473"
"97","92336","bauer-4500-combo-ii","1044665"
"97","124258","bauer-blade-jacket","1044676"
"97","152003","bauer-blade-jacket","1044677"
"97","81044","bauer-blade-jacket","1044678"
"97","92394","bauer-prodigy-combo","1045723"
"97","92035","bauer-re-akt-100-yth","1045724"
"97","92517","bauer-re-akt-100-yth-combo","1045725"
"97","123463","prodigy-hg-yth","1046518"
"97","123906","bauer-prodigy-yth-fm","1046914"
"97","80928","tuuk-ls4-edge-runner","1047144"
"97","152762","sup-skate-lace","1047197"
"97","92071","bauer-re-akt-75-combo","1047963"
"97","116641","bauer-re-akt-75-combo","1047964"
"97","152500","bauer-re-akt-75-combo","1047965"
"97","92116","nexus-1n-hp-sr","1048051"
"97","92098","nexus-1n-hp-jr","1048054"
"97","92193","nexus-n9000-hp-sr","1048056"
"97","92174","nexus-n9000-hp-jr","1048059"
"97","92135","nexus-n7000-hp-sr","1048063"
"97","92125","nexus-n7000-hp-jr","1048064"
"97","91892","nexus-1n-hg-sr","1048068"
"97","91711","nexus-n9000-hg-jr","1048073"
"97","91857","vapor-x900-hg-sr","1048083"
"97","152490","bauer-fm-sliding-buckle","1048091"
"97","91870","vapor-x700-hg-sr","1048094"
"97","91689","vapor-x700-hg-jr","1048095"
"97","92283","vapor-1x-hp-sr","1048096"
"97","92300","vapor-x900-hp-jr","1048098"
"97","81076","bauer-s16-sup-1s-sr","1048221"
"97","75482","ravens-flex-fz-tech-fleece-sr","1048406R"
"97","74401","ravens-flex-fz-tech-fleece-yth","1048409R"
"97","86105","ravens-flex-bubble-jkt-sr","1048412R"
"97","124429","wolves-softshell-jkt-yth","1048451W"
"97","153943","nexus-freeze-pro-hp-jr-s16","1048864"
"97","81097","bauer-prodigy-comp-stk-50","1050223"
"97","81094","bauer-prodigy-comp-stk-46","1050224"
"97","81079","bauer-prodigy-comp-stk-42","1050226"
"97","124261","bauer-prodigy-comp-stk-38","1050227"
"97","92051","bauer-re-akt-200","1050342"
"97","135323","bauer-pro-clip-strt-clear","1050354"
"97","81028","s17-vap-1x-skate-sr","1050359"
"97","92058","bauer-re-akt-200-combo","1050363"
"97","92525","bauer-dlx-visor","1050364"
"97","92466","bauer-pro-clip-strt-smoke","1050365"
"97","136795","bauer-pro-clip-wave","1050366"
"97","123401","bauer-pro-clip-repl-lens","1050368"
"97","92529","bauer-dlx-repl-lens-2-set","1050369"
"97","67977","bauer-sup-1sle-gr-stk-sr","105050"
"97","81034","s17-vap-x400-skate-jr","1050595"
"97","91429","s17-vap-xltx-pro-sr","1050634"
"97","91408","s17-vap-xltx-pro-jr","1050635"
"97","91372","s17-vap-xltx-pro-sr","1050636"
"97","91320","s17-vap-xltx-pro-jr","1050637"
"97","92676","s17-sup-1s-sp-sr","1050690"
"97","92531","s17-sup-1s-sp-yth","1050698"
"97","116631","s17-sup-s170-shoulder-pad-yth","1050699"
"97","91391","s17-vap-xltx-pro-yth","1050702"
"97","91456","s17-vap-xltx-sr","1050703"
"97","91283","s17-vap-xltx-jr","1050704"
"97","135614","s17-sup-s180-wmns-sp","1050709"
"97","80897","s17-prem-comp-jock-pant-sr","1050712"
"97","153547","s17-core-low-skate-sock","1050728"
"97","80891","s17-core-tall-skate-sock","1050729"
"97","80901","s17-prem-tall-skate-sock","1050730"
"97","80885","ng-women-s-mesh-jill","1050736"
"97","115601","s17-prem-ls-grip-crew-top-sr","1050738"
"97","115581","s17-prem-ls-grip-crew-top-yth","1050739"
"97","80934","s17-prem-comp-jock-pant-yth","1050743"
"97","92223","s17-prem-comp-jock-sr","1050744"
"97","151880","s17-prem-comp-jock-yth","1050745"
"97","115596","s17-core-ls-hybrid-top-sr","1050768"
"97","115591","s17-core-ls-hybrid-top-yth","1050769"
"97","91632","s17-supreme-1s-hg-jr","1050774"
"97","115586","s17-core-comp-bl-pant-sr","1050788"
"97","115608","s17-core-comp-bl-pant-yth","1050789"
"97","92674","s17-sup-1s-ep-yth","1050800"
"97","92245","s17-sup-1s-hp-jr","1050838"
"97","92263","s17-sup-1s-hp-yth","1050839"
"97","80971","s17-sup-1s-hg-sr","1050845"
"97","91778","s17-sup-s190-hg-sr","1050853"
"97","91746","s17-sup-s190-hg-jr","1050854"
"97","91791","s17-sup-s150-hg-sr","1050859"
"97","72011","bauer-ignite-pro-s17-shin-jr","1050917"
"97","80681","s17-sup-ign-pro-sp-jr","1050947"
"97","80757","s17-sup-ign-pro-ep-sr","1050948"
"97","80755","s17-sup-ign-pro-ep-jr","1050950"
"97","90546","s17-sup-ign-pro-hg-sr","1050951"
"97","90544","s17-sup-ign-pro-hg-sr","1050951112"
"97","123607","bauer-s17-prodigy-3-0-trap-yth","1051233"
"97","123610","bauer-s17-prodigy-3-0-block-y","1051234"
"97","124273","s17-sup-1s-gr-sr","1051330"
"97","92630","bauer-pro-15-carry-bag-l","1051420"
"97","92625","bauer-850-wheel-bag-l","1051442"
"97","92587","bauer-650-wheel-hockey-bag","1051452"
"97","92613","bauer-650-wh-bag-s","1051458"
"97","92599","bauer-850-carry-bag-l","1051464"
"97","92603","bauer-850-carry-bag-m","1051467"
"97","92617","bauer-650-carry-bag-l","1051473"
"97","92583","bauer-650-carry-bag-m","1051476"
"97","153541","bauer-pro-10-backpack","1051488"
"97","92621","bauer-850-wheel-bag-gl","1052194"
"97","81143","s18-vapor-1x-lite-gr-sr","1052226"
"97","81091","s18-vapor-1x-lite-gr-int","1052229"
"97","81125","s18-vapor-1x-lite-gr-jr","1052231"
"97","81153","s18-vapor-x-900-lite-gr-sr","1052256"
"97","81148","s18-vapor-x-900-lite-gr-int","1052258"
"97","139055","bauer-rh-xr300-sr","1052318"
"97","90696","s18-v-ltx-pro-gr-sr-77","1052398"
"97","90764","s18-v-ltx-pro-gr-int-67","1052400"
"97","90716","s18-v-ltx-pro-gr-jr-50","1052401"
"97","90801","s18-v-ltx-gr-sr-87","1052402"
"97","90771","s18-v-ltx-gr-int-60","1052403"
"97","90651","s18-v-ltx-gr-jr-40","1052404"
"97","92640","s17-vap-pro-gl-carry-bag","1052435"
"97","92651","s17-vap-team-carry-bag-l","10524355"
"97","92644","s17-vap-team-carry-bag-m","10524356"
"97","71998","bauer-17-vap-x900-sr-glstk-p31","1052517"
