"value_id","attribute_id","store_id","entity_id","value"
"155801","97","0","17477","bauer-sup-one-9-sz-4d-used"
"471579","97","0","41918","rbk-5k-sz-3d-used"
"496923","97","0","44222","figure-skate-sp-teri-figu-used"
"556502","97","0","47402","bauer-x6-0-jr-gr-r-pm9-50"
"556557","97","0","47407","bauer-x6-0-jr-gr-r-p92-50"
"1138223","97","0","66495","sideline-super-soaker-yt-red"
"1138811","97","0","66544","sideline-super-soaker-ad-red"
"1161080","97","0","67590","mondor-4413-dress-r6-4-6"
"1196541","97","0","69125","sideline-super-soaker-sm-blk"
"1224292","97","0","70180","rawlings-gypt6-6b-12-yth-glv"
"1224304","97","0","70181","rawlings-gypt6-6b-12-yth-glv"
"1289005","97","0","73325","hc-backstop-net-add-on"
"1301169","97","0","74037","bauer-vapor-ltx-pro-2-5d-used"
"1310379","97","0","74550","mondor-4413-dress-ts-8-10"
"1310391","97","0","74551","mondor-4413-dress-18-6x-7"
"1310403","97","0","74552","mondor-4413-dress-18-8-10"
"1310415","97","0","74553","mondor-4413-dress-18-10-12"
"1310427","97","0","74554","mondor-4413-dress-r6-12-14"
"1310439","97","0","74555","mondor-4413-dress-cy-10-12"
"1310463","97","0","74557","mondor-4413-dress-g1-8-10"
"1310475","97","0","74558","mondor-4413-dress-g1-10-12"
"1310487","97","0","74559","mondor-4413-dress-g1-12-14"
"1322635","97","0","75233","sideline-super-soaker-ad-bk"
"1322647","97","0","75234","sideline-super-soaker-ad-camo"
"1359670","97","0","76677","bauer-flex-pant-sr-s-black"
"1369765","97","0","77089","easton-ghost-9-33-24"
"1370689","97","0","77166","easton-prowess-qwikfit-box-yth"
"1370701","97","0","77167","easton-prowess-qwikfit-box-yth"
"1370713","97","0","77168","easton-prowess-p2-box-set-int"
"1370725","97","0","77169","easton-prowess-p2-box-set-int"
"1381406","97","0","77361","rawlings-sandlot-1stbase-12-5"
"1386484","97","0","77594","rawlings-r16-helmet-jr-b"
"1386496","97","0","77595","rawlings-r16-helmet-jr-n"
"1386508","97","0","77596","rawlings-r16-helmet-jr-r"
"1386580","97","0","77602","rawlings-r16-helmet-sr-b"
"1386604","97","0","77604","rawlings-r16-helmet-sr-n"
"1386616","97","0","77605","rawlings-r16-helmet-sr-r"
"1386628","97","0","77606","rawlings-r16-helmet-sr-s"
"1386928","97","0","77631","rawlings-fp-practice-ball-12"
"1390858","97","0","77859","louisville-genuine-stick-pack"
"1390906","97","0","77863","rawlings-select-stick-pack-bl"
"1390918","97","0","77864","rawlings-select-stick-pack-lg"
"1390930","97","0","77865","rawlings-select-stick-pack-ro"
"1390942","97","0","77866","rawlings-select-stick-pack-sc"
"1391026","97","0","77873","louisville-prime-brch-aj10-nw"
"1391038","97","0","77874","louisville-prime-brch-aj10-nw"
"1396140","97","0","77951","rawlings-coolflo-bh-w-fg-b"
"1400293","97","0","78167","rawlings-prodigy-p115gbi-11-5"
"1407963","97","0","78524","lizard-skins-padded-inner-glv"
"1407975","97","0","78525","lizard-skins-padded-inner-glv"
"1407987","97","0","78526","lizard-skins-padded-inner-glv"
"1408047","97","0","78531","lizard-skins-pad-inner-glv-rt"
"1408059","97","0","78532","lizard-skins-pad-inner-glv-rt"
"1408071","97","0","78533","lizard-skins-pad-inner-glv-rt"
"1408083","97","0","78534","pro-tec-hot-cold-therapy-wrap"
"1410129","97","0","78575","rawlings-r16-helmet-jr-s"
"1412747","97","0","78715","rawlings-renegade-catch-set-yt"
"1413163","97","0","78736","ccm-prem-2-int-stk-l-craw-24"
"1421871","97","0","79195","ccm-eflex-2-sr-c-a"
"1421881","97","0","79196","ccm-eflex-2-sr-c-a"
"1421891","97","0","79197","ccm-eflex-2-sr-c-a"
"1421901","97","0","79198","ccm-eflex-2-sr-c-a"
"1421952","97","0","79203","ccm-eflex-2-sr-gp"
"1421962","97","0","79204","ccm-eflex-2-sr-gp"
"1421972","97","0","79205","ccm-eflex-2-sr-gp"
"1421982","97","0","79206","ccm-eflex-2-sr-gp"
"1423522","97","0","79282","ghost-ne-3930-flex-hat-l-xl-bl"
"1423728","97","0","79294","ccm-premier-2-9-block-int"
"1423739","97","0","79295","ccm-premier-2-9-block-int"
"1423750","97","0","79296","ccm-premier-2-9-block-int"
"1423761","97","0","79297","ccm-premier-2-9-block-int"
"1423772","97","0","79298","ccm-premier-2-9-block-int"
"1423783","97","0","79299","ccm-premier-2-9-block-int"
"1424794","97","0","79376","ccm-tacks-as1-gs-sr-8-d"
"1424806","97","0","79377","ccm-tacks-as1-gs-sr-9-d"
"1424818","97","0","79378","ccm-tacks-as1-gs-sr-9-5-d"
"1424830","97","0","79379","ccm-tacks-as1-gs-sr-10-d"
"1427111","97","0","79533","ccm-premier-2-9-int-trap-fr-ww"
"1427123","97","0","79534","ccm-premier-2-9-int-trap-reg-m"
"1427135","97","0","79535","ccm-premier-2-9-int-trap-reg-w"
"1427159","97","0","79537","ccm-premier-2-9-gp-int-29-1-ww"
"1427171","97","0","79538","ccm-premier-2-9-gp-int-29-1-mt"
"1427183","97","0","79539","ccm-premier-2-9-gp-int-30-1-ww"
"1427195","97","0","79540","ccm-premier-2-9-gp-int-30-1-mt"
"1427207","97","0","79541","ccm-premier-2-9-gp-int-31-1-ww"
"1427219","97","0","79542","ccm-premier-2-9-gp-int-31-1-mt"
"1427231","97","0","79543","ccm-premier-2-9-gp-int-32-1-ww"
"1427243","97","0","79544","ccm-premier-2-9-gp-int-32-1-mt"
"1430777","97","0","79832","ccm-tacks-classic-pro-hp-sr"
"1430788","97","0","79833","ccm-tacks-classic-pro-hp-jr"
"1430808","97","0","79835","ccm-tacks-classic-pro-hp-sr"
"1430849","97","0","79839","ccm-tacks-classic-pro-hp-jr"
"1430881","97","0","79842","ccm-tacks-classic-pro-hp-sr"
"1430917","97","0","79845","ccm-js-xtra-pro-jr-2-5-d"
"1430929","97","0","79846","ccm-js-xtra-pro-jr-4-5-d"
"1431277","97","0","79875","ccm-tacks-classic-sp-jr-s"
"1431325","97","0","79879","jetspeed-ft370-hg-jr-nrw-10"
"1431397","97","0","79885","jetspeed-ft350-hg-sr-bkwh-13"
"1431409","97","0","79886","jetspeed-ft370-hg-sr-nrw-13"
"1431421","97","0","79887","jetspeed-ft350-hp-jr-m-bk"
"1431433","97","0","79888","jetspeed-ft350-hp-jr-l-bk"
"1431445","97","0","79889","jetspeed-ft350-sp-jr-l"
"1431469","97","0","79891","jetspeed-ft390-ep-jr-m"
"1431493","97","0","79893","jetspeed-ft370-hp-jr-s-rd"
"1431505","97","0","79894","jetspeed-ft370-hp-jr-xl-rd"
"1431529","97","0","79896","jetspeed-ft370-hp-sr-m-rd"
"1431541","97","0","79897","jetspeed-ft370-hp-sr-l-rd"
"1431589","97","0","79901","jetspeed-ft350-hp-yth-s-bk"
"1431601","97","0","79902","jetspeed-ft350-hp-yth-m-bk"
"1431613","97","0","79903","jetspeed-ft350-hp-yth-l-bk"
"1431625","97","0","79904","jetspeed-ft350-sp-sr-s"
"1431649","97","0","79906","jetspeed-ft350-hp-jr-xl-bk"
"1431661","97","0","79907","jetspeed-ft1-hp-sr-m-bk"
"1431673","97","0","79908","jetspeed-ft1-hp-sr-l-bk"
"1431685","97","0","79909","jetspeed-ft390-ep-jr-l"
"1431973","97","0","79933","ccm-js-xtra-pro-plus-jr-5-d"
"1431985","97","0","79934","ccm-js-xtra-pp-sr-8-d"
"1431997","97","0","79935","ccm-js-xtra-jr-4-5-d"
"1432189","97","0","79951","ccm-4-roll-hg4iii-hg-jr-bkbk-1"
"1432201","97","0","79952","ccm-4-roll-hg4iii-hg-jr-bkbk-1"
"1432213","97","0","79953","ccm-4-roll-hg4iii-hg-jr-bkbk-1"
"1432225","97","0","79954","ccm-tacks-3092-sp-jr-l"
"1432261","97","0","79957","ccm-4-roll-hg4iii-hg-sr-bkbk-1"
"1432297","97","0","79960","ccm-tacks-7092-ep-sr-s"
"1432309","97","0","79961","ccm-tacks-3092-sp-sr-m"
"1432321","97","0","79962","ccm-4-roll-hg4iii-hg-yth-bkbk"
"1432333","97","0","79963","ccm-4-roll-hg4iii-hg-yth-bkbk"
"1433521","97","0","80058","atc-1000-tshirt"
"1433532","97","0","80059","atc-1000-tshirt"
"1433691","97","0","80064","jetspeed-ft350-ep-sr"
"1433702","97","0","80065","jetspeed-ft350-ep-sr"
"1433713","97","0","80066","jetspeed-ft350-ep-sr"
"1433724","97","0","80067","jetspeed-ft350-ep-sr"
"1433765","97","0","80070","ccm-fl-fl60-sr-red-s"
"1433777","97","0","80071","ccm-fl-fl60-sr-red-m"
"1433789","97","0","80072","ccm-fl-fl60-combo-nv-s"
"1433801","97","0","80073","ccm-fl-fl60-combo-nv-m"
"1433933","97","0","80084","ccm-580-wire-sr-sil-sil-l"
