"attribute_id","entity_id","sku","value"
"97","147470","000350","jackson-jl350-oversize-bag"
"97","124426","0008967452","ravens-kobe-nxt-full-front"
"97","133369","002173","aegis-bib-neck-protector"
"97","124405","002200","fmg-goal-chill-sweatband"
"97","123393","002442","wolves-ccm-c6509-hat"
"97","67651","00308","mondor-747-mens-pant"
"97","108147","00337","mondor-2723-dress-yth"
"97","112643","00358","woolwich-sponsor-namebar"
"97","112644","00358","woolwich-sponsor-namebar"
"97","152186","004302","mondor-4302-polartec-pant"
"97","124076","004413","mondor-4413-dress"
"97","123848","004423","mondor-4423-dress"
"97","152182","004457","mondor-4457-ploartec-pant"
"97","88082","00605","huskies-ne-9twenty-adj-mb"
"97","143910","00633","step-steel-goal-graf"
"97","68380","00803","buttendz-twirl-grip"
"97","68904","00870","bauer-n-freeze-pro-16-gr-int"
"97","68914","00871","bauer-n-freeze-pro-16-gr-int"
"97","110532","00938","ravens-kobe-nxt-lace"
"97","35867","01035","step-steel-ls2-pair"
"97","142322","020126","jackson-legacy-8-ub80-blade"
"97","141376","020128","jackson-protege-xp-ub45-blade"
"97","128204","02056","grays-glitter-xtra-ball"
"97","123355","02061","fix-my-gear-knee-elastic-dbl"
"97","123357","02062","fix-my-gear-knee-elastic"
"97","124382","02134","makura-kyro-pro"
"97","134108","02136","ravens-atc-l3519-ss"
"97","124390","02138","makura-toka"
"97","124397","02139","makura-ignis"
"97","124400","02140","makura-tephra"
"97","123869","021414","tigers-5950-fitted-hat"
"97","124403","02142","makura-lithos"
"97","124106","02190","aegis-bracer-wrist-guard"
"97","134345","02191","mondor2768-dress"
"97","134026","02192","mondor-3739-dress"
"97","133606","02193","mondor-2762-dress"
"97","134359","02199","mondor-664-dress"
"97","133629","02210","rawlings-force-ml-spec"
"97","134307","022123","oofos-5081-fibre-low"
"97","137959","02226","sublimated-tie"
"97","118919","02227","tydan-edge-mf"
"97","118922","02228","tydan-edge-dlc"
"97","118927","02229","tydan-sb4-0-dlc-blk"
"97","123495","02239","huskies-bauer-core-hoody"
"97","132659","02267","ravens-sub-hoodie"
"97","133922","02268","ravens-atc-ss-dryfit-tee"
"97","133508","02269","ravens-atc-dry-fit-shorts"
"97","136300","02277","wolves-ss-tee"
"97","138534","02278","wolves-plaid-ball-cap"
"97","136257","02279","wolves-ls-tee"
"97","136417","02280","wolves-hoodie"
"97","139831","02281","wolves-jacket"
"97","139887","02283","wolves-pj-pants"
"97","139877","02284","wolves-crew-neck-tee"
"97","138573","02305","ravens-hoodie"
"97","139517","02306","ravens-puff-jacket"
"97","136358","02307","ravens-ss-tee"
"97","138073","02308","ravens-perf-tee"
"97","139624","02309","ravens-track-pant"
"97","123757","02310","ua-team-hustle-3-0-bkpk"
"97","139806","02311","woolwich-bella-3-4-slv"
"97","139649","02312","woolwich-ccm-j5590-jkt"
"97","138439","02314","woolwich-ccm-pant"
"97","139693","02315","woolwich-polo"
"97","133399","02344","graf-cowlings-pair-sr"
"97","133407","02345","graf-pro-goalie-runner"
"97","137863","02352","ravens-ccm-f5592-fz-hoodie"
"97","123479","02383","huskies-kewl-triumph-pnt"
"97","123482","02390","csw-l00661-muskoka-hoody"
"97","123484","02396","huskies-ccm-adj-c7576-hat"
"97","123882","02413","tigers-3930-flex-hat"
"97","123769","02417","tigers-holt-ls-t-shirt"
"97","123376","02418","tigers-brody-ss-t-shirt"
"97","123890","024393","team-pillow"
"97","124195","02453","ravens-ccm-6509-cap"
"97","138898","02471","wolves-atc3519-ss"
"97","139802","02472","wolves-blanket"
"97","139515","02473","ravens-blanket"
"97","139482","02474","huskies-blanket"
"97","139361","02475","woolwich-wildcat-blanket"
"97","139502","02476","wolverines-blanket"
"97","139264","024813","huskies-atc-hoody"
"97","139278","024824","jerrys-209-dress"
"97","124197","02484","bauer-2spro-custom"
"97","123448","02489","dsc-women-s-tee"
"97","139794","02538","wolverines-cc-hoody-ff-uni"
"97","134877","02542","wolves-atc-220y-yarn-front"
"97","134549","02553","atc-property-of-tigers-tee"
"97","123811","02554","atc-f220-tigers-mom-hoody"
"97","123410","02558","wildfire-dryfit-t-shirt-hsf"
"97","123468","025589","wildfire-atc2201-hood-hsf"
"97","123647","02559","ravens-ccm-adj-c7576-hat"
"97","124181","025590","wildfire-atc2201hood-twill"
"97","69962","02580","stx-head-stallion-u-700-unstr"
"97","138313","02655","coyote-sub-jersey-sr"
"97","138944","02656","coyote-sub-jersey-ad"
"97","123239","02657","softec-st3200-vista"
"97","123265","02687","gam-stella"
"97","123269","02688","gam-select-49"
"97","127783","02765","demarini-bustos-19-fp-13"
"97","127791","02766","demarini-19-uprisingfp-12"
"97","127785","02767","demarini-19-cf-insane-fp-10"
"97","127770","02768","demarini-19-cf-zen-fp-10"
"97","127773","02769","demarini-19-cf-zen-11"
"97","127778","02770","demarini-19-vendetta-fp-12"
"97","139456","02771","easton-gameday-flex-hat"
"97","127803","02776","hot-glove-power-band"
"97","127797","02777","lizard-skins"
"97","139653","02778","gilden-1850-hoody-sr"
"97","139752","02781","trek-anti-skid-guard"
"97","139669","02782","nash-blade-covers"
"97","139043","02783","rawlings-blt"
"97","139739","02784","easton-m5-yth-lg-13-5"
"97","139613","02804","atc-f220-royals-mom-hoody"
"97","139691","02807","wilson-gold-seal-rev"
"97","127939","02813","berio-coach-board"
"97","128009","02844","exel-f40-2-9-white-92"
"97","128012","02845","exel-p40-3-4-round-sb-grey"
"97","128014","02847","exel-p60-2-9-white-round"
"97","134697","02860","preds-bodie-ss-sr-tee"
"97","134714","02861","preds-bodie-ss-yth-tee"
"97","128037","02863","ccm-eflex-4-9-int-pad"
"97","128039","02864","ccm-eflex-4-9-int-glv"
"97","128041","02865","ccm-eflex-4-9-int-block"
"97","128047","02867","ccm-eflex-4-5-jr-glv"
"97","128049","02868","ccm-eflex-4-5-jr-block"
"97","128051","02869","kr3-big-barrel-pro-maple"
"97","128053","02870","kr3-fungo-bat-36-burnt"
"97","128055","02871","kr3-canadian-rock-maple"
"97","128059","02872","kr3-eagle-magnum-pat-5"
"97","137163","02873","profeet-270-2-in-1"
"97","138116","02874","profeet-msp27series"
"97","128073","02876","victus-v110-gritte-matte"
"97","136666","02880","wolves-atc-gameday-yth"
"97","128114","02886","b45-pro-select-b243v-matte"
"97","128123","02888","b45-pro-selectb110v"
"97","128170","02893","b45-pro-select-tj19"
"97","128180","03001","grays-x2000-jr-comp-stk-35"
"97","139938","04302","mondor-4403-pant"
"97","139944","04403","mondor-4403-dress"
"97","69960","05236","louisville-fg-zephyr-glove-reg"
"97","154417","052931","capezio-shrug"
"97","154415","0529318","capezio-short"
"97","69729","05318","mizuno-elite-padded-slideshort"
"97","70604","05385","louisville-leg-lte-ash-t141-bt"
"97","70961","05526","demarini-s243-pro-mpl-comp-bat"
"97","86941","05635","bauer-vapor-1x-gs-jr"
"97","140797","05723","ccm-js-xtra-pro-17-sr"
"97","142303","05724","ccm-js-xtra-pro-17-sr"
"97","75157","05778","bauer-prem-ls-gr-crew-top-yth"
"97","74638","05781","bauer-prem-comp-jock-pant-yth"
"97","92992","05895","atc-yls350-youth-long-sl"
"97","76826","05903","ccm-j5590-wolves-prem-jkt-yth"
"97","75674","05904","ccm-j5591-wolves-prem-pant-sr"
"97","75675","05905","ccm-j5591-wolves-prem-pant-yth"
"97","99655","05908","ccm-j6666-wolves-mw-jkt-yth"
"97","99681","05911","ccm-j5647-wolves-wtr-jkt-yth"
"97","105538","05919","ccm-f6568-wolves-pull-hood-yth"
"97","74634","05950","ccm-pro-cert-cateye-goal-fm-sr"
"97","72273","05967","bauer-s17-sup-ignite-pro-sr-sp"
"97","72274","05968","bauer-s17-sup-ignite-pro-jr-sp"
"97","72276","05970","bauer-s17-sup-ignite-pro-sr-sp"
"97","72277","05971","bauer-s17-sup-ignite-pro-jr-sp"
"97","72278","05972","bauer-s17-sup-ignite-pro-srsg"
"97","96765","06041","ccm-premium-skate-jacket-sr"
"97","140255","06046","ccm-supertacks-2-0-sr"
"97","72796","06061","bauer-vapor-xltx-pro-16-sp-jr"
"97","72798","06063","bauer-s17-sup-ignt-pro-ep-sr"
"97","72799","06064","bauer-s17-sup-ignt-pro-ep-jr"
"97","72804","06069","bauer-s17-sup-ignt-pro-ep-sr"
"97","72805","06100","bauer-s17-sup-ignt-pro-ep-jr"
"97","118694","061178230804","supreme-low-cut-ladies"
"97","118686","061178231559","supreme-5500-ladies"
"97","118692","061178240698","elite-5200-ladies"
"97","118804","061178253759","mens-premiere-boot"
"97","118812","061178253896","boys-premiere-boot"
"97","118684","061178260023","supreme-5500-ladies-ultimate"
"97","118690","061178266797","elite-5200-ladies-premium"
"97","118682","061178270343","elite-mens-boot"
"97","118818","061178277830","supreme-low-cut-mens"
"97","118814","061178278370","supreme-mens-boot"
"97","118816","061178316829","debut-standard-ladies"
"97","118820","061178317086","debut-standard-misses"
"97","118806","061178317208","debut-firm-ladies"
"97","118810","061178317468","debut-firm-misses"
"97","118808","061178317581","debut-low-cut-ladies"
"97","118824","061178317888","debut-boot-mens"
"97","118826","061178318106","debut-boot-boys"
"97","118688","061178323087","supreme-low-cut-lcf-bk"
"97","118822","061178324718","premiere-ladies-boot"
"97","106755","06120","twins-mizuno-1-4-zip-wp-jkt-sr"
"97","106594","06121","twins-mizuno-1-4-zip-wp-jkt-yt"
"97","74277","06149","ccm-extreme-flex-iii-int"
"97","73273","06151","mondor-2711-dress-yth"
"97","73531","06263","ccm-extreme-flex-iii-int"
"97","134316","06278","bauer-s17-sup-1s-gr-jr"
