"value_id","attribute_id","store_id","entity_id","value"
"1358770","97","0","76602","bauer-ltx-pro+-2.5d-used_06835"
"1513476","97","0","85631","ccm-mesh-flex-yth-hat_c6432wy"
"1917783","97","0","115555","bauer-vap-ltx-pro+-1.5ee-used_01174"
"7794348","97","0","140540","bauer-vapor-xltx-1-5d-used"
"7795591","97","0","140664","bauer-sup-ignite-2.5d-used_30760"
"7798337","97","0","140943","bauer-nexus-freeze-1ee_308442"
"7799463","97","0","141060","bauer-sup-ignite-+-2.5d-used_30456"
"7800567","97","0","141176","bauer-vap-ltx-4.5-d-used_30832"
"7815189","97","0","142530","bauer-supreme-ignite-3d-used"
"7815724","97","0","142551","bauer-vapor-ltx-pro-6d_308691"
"7817045","97","0","142629","easton-synergy-100-yth-13"
"7855359","97","0","145932","bauer-vapor-xltx-pro-5.5d-used_30954"
"7873004","97","0","147436","bauer-sup-ignite-pro+-5ee-used_40055"
"7873354","97","0","147471","bauer-sup-ignite-3d-used"
"7874676","97","0","147540","ccm-end-plug-traditional"
"7880411","97","0","147887","bauer-vapor-xltx-1.5ee-used_40241"
"7880421","97","0","147888","bauer-vap-xltx-pro-4d-used_40237"
"7881678","97","0","147947","bauer-sup-ignite-pro-2d-used_40275"
"7917309","97","0","150895","bauer-nexus-n2700-5ee-used_40406"
"7926867","97","0","151819","bauer-nexus-freeze-4ee-used_40440"
"7927379","97","0","151866","ccm-tacks-classic-3.5d-used_40464"
"7927967","97","0","151906","bauer-sup-ignite-pro-4d-used_40483"
"7930709","97","0","152155","ccm-tacks-classic-pro-2.5d_40612"
"7932598","97","0","152315","bauer-sup-ignite-pro-7ee-used_40686"
"7942663","97","0","152845","bauer-vapor-ltx-pro-6d_40757"
"7991099","97","0","156080","bauer-vapor-xltx-2.5d-used_41081"
"7996565","97","0","156473","bauer-vapor-x500-1d-used_41120"
"7998183","97","0","156596","bauer-suprme-3s-4fit2-jr_41141"
"7999341","97","0","156663","bauer-vap-xltx-pro-8d-used"
"7999361","97","0","156665","bauer-sup-ignite-4d-used_41154"
"8001207","97","0","156773","bauer-supreme-s160-2d-used_41192"
"8001227","97","0","156775","bauer-sup-s160-yth-11d-used_41194"
"8001357","97","0","156788","bauer-vap-xltx-pro+-3d-used_41208"
"8001497","97","0","156802","bauer-sup-ignite-pro-2d-used_41225"
"8002108","97","0","156845","bauer-vapor-x2-7-3-5d-used"
"8002450","97","0","156875","bauer-supreme-1s-5d-used_41251"
"8002580","97","0","156888","bauer-sup-ignite-pro-3d-used_41252"
"8005478","97","0","157103","bauer-vapor-x40-yth-13r-used"
"8006841","97","0","157182","bauer-vap-xltx-pro-4d-used_41454"
"8007161","97","0","157201","bauer-vapor-x200-yth-13r-used"
