"parent_id","value","entity_id"
"12976","ua-3035-football-tube-sock","12976"
"12976","ua-3035-football-tube-sock","12976"
"12984","rawlings-271mav-velo","12984"
"12984","rawlings-271mav-velo","12984"
"13003","ring-jet-rj-100-stk-jr","13003"
"13005","mission-rh-inhaler-ac6-jr","13005"
"13007","louisville-sl13c-bat","13007"
"13007","louisville-sl13c-bat","13007"
"13007","louisville-sl13c-bat","13007"
"13028","gait-m4-m4hu-head","13028"
"13028","gait-m4-m4hu-head","13028"
"13032","powertek-q5-glove-yth","13032"
"13032","powertek-q5-glove-yth","13032"
"13033","tpx-long-pant-double-knee","13033"
"13047","firstar-20ls-shirt","13047"
"13047","firstar-20ls-shirt","13047"
"13047","firstar-20ls-shirt","13047"
"13050","easton-syfp2000-cm-33","13050"
"13053","bauer-rh-x60r-skate-jr","13053"
"13053","bauer-rh-x60r-skate-jr","13053"
"13053","bauer-rh-x60r-skate-jr","13053"
"13053","bauer-rh-x60r-skate-jr","13053"
"13054","bauer-vapor-x60-sg-jr","13054"
"13054","bauer-vapor-x60-sg-jr","13054"
"13054","bauer-vapor-x60-sg-jr","13054"
"13068","car-sticker","13068"
"13068","car-sticker","13068"
"13068","car-sticker","13068"
"13068","car-sticker","13068"
"13070","bauer-lightweight-wmn","13070"
"13070","bauer-lightweight-wmn","13070"
"13070","bauer-lightweight-wmn","13070"
"13070","bauer-lightweight-wmn","13070"
"13070","bauer-lightweight-wmn","13070"
"13080","easton-eq5-comp-neck-bib-adt","13080"
"13136","shock-dr-wms-jill-w-pp","13136"
"13136","shock-dr-wms-jill-w-pp","13136"
"13144","easton-yb14s500-bat-13","13144"
"13146","511r-mcd-elastic-ankle","13146"
"13171","wilson-a2800-psb-12-fb-glv","13171"
"13173","adidas-yth-striker-short","13173"
"13173","adidas-yth-striker-short","13173"
"13173","adidas-yth-striker-short","13173"
"13200","louisville-m9s318n-bat","13200"
"13200","louisville-m9s318n-bat","13200"
"13203","ua-3182-noshow-wms-sock","13203"
"13211","ua-7747-ls-convertible-jacket","13211"
"13213","easton-natural-lg-yth-jr","13213"
"13274","abiti-yoga-pant","13274"
"13274","abiti-yoga-pant","13274"
"13274","abiti-yoga-pant","13274"
"13274","abiti-yoga-pant","13274"
"13276","rbk-ribcor-23k-sr","13276"
"13276","rbk-ribcor-23k-sr","13276"
"13277","mondor-7801-unitard","13277"
"13277","mondor-7801-unitard","13277"
"13277","mondor-7801-unitard","13277"
"13308","ravens-rebel-hoody","13308"
"13312","ccm-res-3000-mask","13312"
"13312","ccm-res-3000-mask","13312"
"13312","ccm-res-3000-mask","13312"
"13336","nami-sr-e-stick-ringette","13336"
"13336","nami-sr-e-stick-ringette","13336"
"13336","nami-sr-e-stick-ringette","13336"
"13373","bauer-vapor-x100-sg-sr","13373"
"13373","bauer-vapor-x100-sg-sr","13373"
"13373","bauer-vapor-x100-sg-sr","13373"
"13373","bauer-vapor-x100-sg-sr","13373"
"13406","nami-pursuit-jr-comp-ring-stk","13406"
"13406","nami-pursuit-jr-comp-ring-stk","13406"
"13413","nokona-walnut-ws-1350-13-5","13413"
"13440","eletto-net-keeper-glove","13440"
"13440","eletto-net-keeper-glove","13440"
"13441","jackson-artiste","13441"
"13441","jackson-artiste","13441"
"13441","jackson-artiste","13441"
"13441","jackson-artiste","13441"
"13441","jackson-artiste","13441"
"13441","jackson-artiste","13441"
"13444","ua-8794-roster-short","13444"
"13470","ua-hg-sonic-fitted-printed-ss","13470"
"13470","ua-hg-sonic-fitted-printed-ss","13470"
"13470","ua-hg-sonic-fitted-printed-ss","13470"
"13472","mondor-2990-adt-dress-ks","13472"
"13495","bauer-custom-goal-shell","13495"
"13497","mission-7500j-inline-girdle","13497"
"13498","warrior-clutch-gs","13498"
"13507","easton-yb13rp-yth-bat","13507"
"13543","mondor-2986-dress-adt","13543"
"13543","mondor-2986-dress-adt","13543"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13582","elite-laces-moulded-tip","13582"
"13602","bauer-x-90-jr","13602"
"13606","mondor-4808-jacket","13606"
"13618","pukka-beanie-hat","13618"
"13618","pukka-beanie-hat","13618"
"13618","pukka-beanie-hat","13618"
"13628","rbk-20k-yth-sp","13628"
"13653","ccm-travel-jacket","13653"
"13655","wolves-nw-campus-sr","13655"
"13669","ring-jet-ext-500","13669"
"13673","rbk-25p00-jersey","13673"
"13673","rbk-25p00-jersey","13673"
"13678","firstar-pyp-3w-yoga-pant","13678"
"13690","franklin-nat-ii-1041-bg","13690"
"13716","tps-t50-shoulder-pad-jr","13716"
"13716","tps-t50-shoulder-pad-jr","13716"
