id,description
39,Earthen Clay Coffee Mug 
40,"Product Description:
Earthen clay cup and saucer."
41,"Your Kids can make real food with this 11 pcs kitchen set.
Give your kids the best & unique kitchen play set made of natural clay. Ideal material for miniature cooking and you can cook real food with our clay kitchen set. Bring back the old traditional play materials which are free from plastics and chemicals. 
If you want to buy Small size clay kitchen set, kindly follow this link https://www.ulamart.com/earthen-clay-cookwares/small-pot-for-kids

Our products are made of pure natural clay and are unglazed.
Reusable and washable. 
No chemical, No artificial colors.
Bio-degradable
Eco-friendly

Product Description:
11 unique Miniature Pieces of Kitchenware."
42,"Give your kids the best guilt free, non-toxic kitchen play set made of natural clay. Ideal material for miniature cooking and pretend play games. Bring back the old traditional play materials which are free from plastics and chemicals. 
If you want to buy Bigger size clay kitchen set, kindly follow this link https://www.ulamart.com/en/medium-kitchen-set-for-kids.html

Our products are made of pure natural clay and are unglazed.
Reusable and washable. 
No chemical, No artificial colors.
Bio-degradable
Eco-friendly

Product Description:
24 different Miniature Pieces of Kitchenware.
Dispatched within 2 days
Note:
This product is completely hand made and comes directly from the craftsman. We are drying this using 100% sunlight and no external light source. You would see the craftsmanship in each piece of these items. So this product has a high demand. This is really fragile and needs the utmost care in packing."
44,"Easiest and healthiest way to prepare fresh sprouts at home is made easy with our clay sprout maker. 
Clay sprouters are the ideal way to grow sprouts in a natural way. Sprouts made out of plastic containers turns moldy which is not good for health.
Clay sprouters are made of natural clay which replicates the conditions of natural germination process in the soil and the seeds gets the best environment to produce best healthy sprouts.
Capacity: 250 to 300 gms


Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly


"
45,"Terracotta buddha idol
Product Description :
Height : 34 cm
Width : 17 cm"
65,"Clay pencil stand or pen stand
Size:

Height : 4 inch

Our products are made of pure natural clay and are unglazed.
No chemical, No artificial colors.
Bio-degradable
Eco-friendly
Non-toxic

"
66,"Product Description:
1 Plate - 8 inches width
1 Tumbler - 2.75 inches Height."
155,"Cleaning instructions:
 For the first use, soak the product in water for 24hrs.
 For regular usage, clean with hot water & brush. No chemical washing products are required.
 Use rock salt and scrub pad & soak in hot water for half an hour, to clean stubborn stains.
 Make use of baking soda to remove absorbed odors of garlic, onion etc."
206,"Thooyamalli Rice is well known for its unique fragrance. Thooyamalli Rice improves digestion, its anti-ageing properties helps us look young and energetic. This rice suits for all age groups, prevents and cures diabetics. Thooyamalli Rice can be used to make many recipes , just like normal Ponni rice."
211,"Known for its easy digestive ability, Kichili Samba has a unique flavor. Kichili Samba Rice boosts immune system, strengthens muscles and makes skin look shiny. Good for diabetic patients. It can be used to prepare Briyani, Sweet Kozhukattai and other rice recipes."
216,"Seeraga Samba/ Jeeraga Samba is popularly known as Biryani rice as it is most commonly used in South Indian Biryani varieties. Since it resembles like Seeragam (cumin), hence the name Seeraga samba.
It contains ample phytonutrients in it. It helps to fight cancer, reduces cholesterol, keeps heart attack at bay and cures constipation. It is a low-GI food that helps keep blood sugar levels in control and is good for diabetic patients.
It can be consumed as plain rice with sambar, curries and also as tasty aromatic Briyani."
221,"Red rice is a gift of diabetes patients, cures anemia, prevents asthma, skin ageing, cures bone related problems, prevents obesity, controls bad cholesterol, heart attack and many other health benefits.
The color red is due to the presence of Anthocyanin in it. Hence red rice has enormous anti-oxidants in it.
You can replace some quantity if idly rice with red rice to get delicious and healthy idly/dosa/appam batter. It can also be used to make Khichadi."
