id,title,description,link,condition,price,availability,image link,gtin,mpn,brand,product type,google product category,shipping
6,Black rice spring vathal - Karuppu Kavuni muruku vathal,"<p>Black rice muruku vathal / Black rice / Karuppu kavuni muruku vathal</p>

",https://www.ulamart.com/black-rice-spring-vathal,New,INR 0,In Stock,https://ulamart.com/pub/media/catalog/product/b/l/blackricefryums.jpeg,,,Ulamart,configurable,,IN:::0 INR
39,Clay Coffee cups - Pack of 2 | Earthenware Coffee mug,<p>Earthen Clay Coffee Mug </p>,https://www.ulamart.com/clay-coffee-mug,New,INR 260,In Stock,https://ulamart.com/pub/media/catalog/product/c/l/clay-coffee-mug.jpg,,,Ulamart,simple,,IN:::0 INR
40,Clay cup and saucer - Pack of 2,"<p><strong>Product Description:</strong></p>
<p>Earthen clay cup and saucer.</p>",https://www.ulamart.com/clay-cup-and-saucer,New,INR 380,In Stock,https://ulamart.com/pub/media/catalog/product/c/l/clay-cup-and-saucer_1_.jpg,,,Ulamart,simple,,IN:::0 INR
41,Clay Kitchen Set 11 Pcs Miniature For Kids | Medium size earthenware Playset,"<p><strong>Your Kids can make real food with this 11 pcs kitchen set.</strong></p>
<p>Give your kids the best & unique kitchen play set made of natural clay. Ideal material for miniature cooking and you can cook real food with our clay kitchen set. Bring back the old traditional play materials which are free from plastics and chemicals. </p>
<p>If you want to buy <strong>Small size clay kitchen set</strong>, kindly follow this link <a href=""https://www.ulamart.com/earthen-clay-cookwares/small-pot-for-kids"">https://www.ulamart.com/earthen-clay-cookwares/small-pot-for-kids</a></p>
<ul>
<li>Our products are made of pure natural clay and are unglazed.</li>
<li>Reusable and washable. </li>
<li>No chemical, No artificial colors.</li>
<li>Bio-degradable</li>
<li>Eco-friendly</li>
</ul>
<p><strong>Product Description:</strong></p>
<p>11 unique Miniature Pieces of Kitchenware.</p>",https://www.ulamart.com/medium-kitchen-set-for-kids,New,INR 498,In Stock,https://ulamart.com/pub/media/catalog/product/1/1/11-pcs-clay-kitchen-set_3.jpg,,,Ulamart,simple,,IN:::0 INR
42,Clay Kitchen Set 24 Pcs Miniature For Kids | Earthenware Playset,"<p>Give your kids the best guilt free, non-toxic kitchen play set made of natural clay. Ideal material for miniature cooking and pretend play games. Bring back the old traditional play materials which are free from plastics and chemicals. </p>
<p>If you want to buy <strong>Bigger size clay kitchen set</strong>, kindly follow this link <a href=""https://www.ulamart.com/en/medium-kitchen-set-for-kids.html"">https://www.ulamart.com/en/medium-kitchen-set-for-kids.html</a></p>
<ul>
<li>Our products are made of pure natural clay and are unglazed.</li>
<li>Reusable and washable. </li>
<li>No chemical, No artificial colors.</li>
<li>Bio-degradable</li>
<li>Eco-friendly</li>
</ul>
<p><strong>Product Description:</strong></p>
<p>24 different Miniature Pieces of Kitchenware.</p>
<p><span style=""text-decoration: underline;""><strong>Dispatched within 2 days</strong></span></p>
<p><strong>Note:</strong></p>
<p>This product is completely hand made and comes directly from the craftsman. We are drying this using 100% sunlight and no external light source. You would see the craftsmanship in each piece of these items. So this product has a high demand. This is really fragile and needs the utmost care in packing.</p>",https://www.ulamart.com/small-pot-for-kids,New,INR 680,In Stock,https://ulamart.com/pub/media/catalog/product/2/4/24_set.jpg,,,Ulamart,simple,,IN:::0 INR
44,CLAY SPROUTING POT WITH LID | SPROUTER ,"<p>Easiest and healthiest way to prepare fresh sprouts at home is made easy with our clay sprout maker. </p>
<p>Clay sprouters are the ideal way to grow sprouts in a natural way. Sprouts made out of plastic containers turns moldy which is not good for health.</p>
<p>Clay sprouters are made of natural clay which replicates the conditions of natural germination process in the soil and the seeds gets the best environment to produce best healthy sprouts.</p>
<p><strong>Capacity</strong>: 250 to 300 gms</p>

<ul>
<li>Our products are made of pure natural clay and are unglazed.</li>
<li>No chemical, No artificial colors.</li>
<li>Bio-degradable</li>
<li>Eco-friendly</li>
</ul>

",https://www.ulamart.com/clay-sprouter,New,INR 483,In Stock,https://ulamart.com/pub/media/catalog/product/1/4/14-min_optimized.png,,,Ulamart,simple,,IN:::0 INR
45,TERRACOTTA BUDDHA IDOL| TERRACOTTA BUDDHA,"<p>Terracotta buddha idol</p>
<p><strong>Product Description :</strong></p>
<p>Height : 34 cm</p>
<p>Width : 17 cm</p>",https://www.ulamart.com/terracotta-buddha-idol,New,INR 682,In Stock,https://ulamart.com/pub/media/catalog/product/t/e/terracotta-buddha-idol_1_.jpg,,,Ulamart,simple,,IN:::0 INR
58,SHIKAKAI POWDER - HERBAL HAIR WASH PRODUCT ,"<p>கருமையான ஆரோக்கியமான கேசம் பெற சீயக்காய் தலை குளியல் பொடி, உடலின் சூட்டை குறைத்து, உறுதியான தலைமுடி பெற சீயக்காய் பொடியை நமது முன்னோர்கள் பயன்படுத்தி உள்ளார்கள்.</p>
<p><strong>Alternative Names: </strong>பெங்காலி : பன் ரித | குஜராத்தி : சீயக்காய்| ஹிந்தி : seeyakai | Shikakai  |வன் ரித | கன்னடம் : சீகே காயி | கொங்கணி : சீகாயி | மலையாளம் : சினிக்க/சீவக்க | மராத்தி : ஷிகேக்கை | ஒடிய | பான ரித | சமஸ்க்ரிதம் : கண்டவல்லி/சிவவள்ளி/ஸ்ரீரவல்லி | தமிழ்: சீகை-க்-காய்</p>
<p><strong>இதன் தனி சிறப்பு</strong>: சீயக்காய் பொடியை தலைமுடிக்கு மட்டுமல்லாது, உடற்குளியல் பொடியாகவும், வாரம் இருமுறை நல்-எண்ணெய் தேய்த்து குளிக்க, எண்ணெய் பசை தன்மை நீங்க. மேலும், சாதாரண ஷாம்பூ உடன் கண்டிஷனர் அவசியம் பயன்படுத்த வேண்டும். ஆனால் சீயக்காய் பொடி இயற்கையான ஷாம்பு மற்றும் கண்டிஷனரா செயல் படுகிறது.</p>",https://www.ulamart.com/shikakai-powder,New,INR 0,In Stock,https://ulamart.com/pub/media/catalog/product/s/h/shikakai-powder_1.jpeg,,,Ulamart,configurable,,IN:::0 INR
59,VETTI VERU HERBS | KHAS KHAS ROOT,"<p class=""MsoNormal""><span lang=""en-in"" xml:lang=""en-in"">Vetti veru also known as Khas Khas grass or Khus is a special herb with unique earthy frangrance. Vetti veru is nature’s tonic to rejuvenate mind and body. Vetti veru herb syrup is well known to reduce body heat. This unique root is used to reduce impurities in water; cures stomach related issues and cold symptoms. Adding it to drinking water is the easiest way to boost our immune system.</span></p>
<p class=""MsoNormal""><span lang=""en-in"" xml:lang=""en-in""></span></p>
<p class=""MsoNormal""><span lang=""en-in"" xml:lang=""en-in""><strong>Weight</strong> : 100 gram</span></p>",https://www.ulamart.com/vetti-veru-root,New,INR 0,In Stock,https://ulamart.com/pub/media/catalog/product/v/e/vetti-veru.jpg,,,Ulamart,configurable,,IN:::0 INR
65,Clay Pencil-Pen Stand | Earthen pencil-pen stand,"<p>Clay pencil stand or pen stand</p>
<p><strong>Size:</strong></p>
<p></p>
<p>Height : 4 inch</p>
<ul>
<li>Our products are made of pure natural clay and are unglazed.</li>
<li>No chemical, No artificial colors.</li>
<li>Bio-degradable</li>
<li>Eco-friendly</li>
<li>Non-toxic</li>
</ul>
<p></p>",https://www.ulamart.com/clay-pen-stand,New,INR 250,In Stock,https://ulamart.com/pub/media/catalog/product/c/l/clay-pen-stand_2_.jpg,,,Ulamart,simple,,IN:::0 INR
