"value_id","attribute_id","store_id","entity_id","value"
"956052","97","0","60616","bauer-basic-reversible-touque"
"1311447","97","0","74639","bauer-premium-compression-jock-short-youth"
"1594205","97","0","92009","bauer-profile-ii-fm"
"6815380","97","0","123950","bauer-prof-iii-chin-cup"
"7645213","97","0","129095","ccm-xs1g-gsk-runner"
"7750973","97","0","138336","ccm-7512-jrsy-fleece"
"7812476","97","0","142335","bauer-ne-950-snapback"
"7841794","97","0","144847","bauer-rh-rs-skate"
"7855211","97","0","145921","ccm-1-5-yth-gfm"
"7864713","97","0","146715","s20-custom-team-pro-carry"
"7894607","97","0","149000","demarini-tweed-fit-cap"
"7926512","97","0","151784","easton-prowess-pant-wmn"
"9213807","97","1","151784","easton-prowess-pant-wmn"
"7928241","97","0","151933","bauer-ne-var-3930-sr-hat"
"7929958","97","0","152083","bauer-core-hdy-w-graph-yth"
"7930038","97","0","152091","ccm-eb-pro-goal-carry-bag"
"7932218","97","0","152286","ng-wmn-comp-jill-pant"
"7934680","97","0","152487","bauer-reversible-gaitor"
"7938220","97","0","152604","bauer-core-hdy-w-graph-sr"
"7938228","97","0","152605","bauer-core-hdy-w-graph-sr"
"7938970","97","0","152653","bauer-ims-5-0"
"7943042","97","0","152880","lizard-skins-hky-long-160cm"
"7943072","97","0","152883","tacki-mac-comm-ribb-8-25"
"7943329","97","0","152890","h19-bauer-pop-hoodie"
"7944364","97","0","152958","h19-bauer-street-sty-jog-sr"
"8400617","97","0","153462","howies-pompom-toque"
"8400637","97","1","153462","howies-pompom-toque_02566"
